RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           91     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  144  163     0     0  con    0  1.0D+00  3.0D-02  1.790D-02  7.449D-01
  145  164     0     0  con    0  1.0D+00  5.1D-02  2.150D-02  7.444D-01
  146  165     0     0  con    0  1.0D+00  7.6D-02  1.831D-02  7.438D-01
  147  167     0     0  con    1  2.9D-01  8.0D-02  3.455D-02  7.436D-01
  148  168     0     0  con    0  1.0D+00  9.4D-02  9.965D-03  7.432D-01
  149  169     0     0  con    0  1.0D+00  1.2D-01  2.615D-02  7.430D-01
  150  170     0     0  con    0  1.0D+00  5.3D-02  1.714D-02  7.428D-01
  151  171     0     0  con    0  1.0D+00  1.0D-01  2.149D-02  7.420D-01
  152  172     0     0  con    0  1.0D+00  8.2D-02  4.336D-02  7.417D-01
  153  173     0     0  con    0  1.0D+00  4.1D-02  1.160D-02  7.415D-01
  154  174     0     0  con    0  1.0D+00  2.1D-02  1.440D-02  7.413D-01
  155  175     0     0  con    0  1.0D+00  5.8D-02  2.184D-02  7.409D-01
  156  176     0     0  con    0  1.0D+00  7.3D-02  1.484D-02  7.404D-01
  157  177     0     0  con    0  1.0D+00  1.8D-01  5.296D-02  7.401D-01
  158  178     0     0  con    0  1.0D+00  7.6D-02  8.262D-03  7.397D-01
  159  179     0     0  con    0  1.0D+00  2.7D-02  3.064D-02  7.395D-01
  160  180     0     0  con    0  1.0D+00  2.9D-02  2.511D-02  7.393D-01
  161  181     0     0  con    0  1.0D+00  7.9D-02  5.776D-02  7.388D-01
  162  182     0     0  con    0  1.0D+00  1.1D-01  3.342D-02  7.384D-01
  163  183     0     0  con    0  1.0D+00  9.9D-02  8.409D-03  7.381D-01
  164  184     0     0  con    0  1.0D+00  2.7D-02  1.264D-02  7.378D-01
  165  185     0     0  con    0  1.0D+00  6.8D-02  2.534D-02  7.375D-01
  166  186     0     0  con    0  1.0D+00  5.5D-02  8.054D-03  7.373D-01
  167  187     0     0  con    0  1.0D+00  5.9D-02  7.323D-03  7.371D-01
  168  188     0     0  con    0  1.0D+00  1.2D-01  1.245D-02  7.366D-01
  169  189     0     0  con    0  1.0D+00  2.5D-01  4.180D-02  7.362D-01
  170  190     0     0  con    0  1.0D+00  8.6D-02  7.966D-02  7.360D-01
  171  191     0     0  con    0  1.0D+00  4.7D-02  1.547D-02  7.357D-01
  172  192     0     0  con    0  1.0D+00  2.3D-02  8.116D-03  7.356D-01
  173  193     0     0  con    0  1.0D+00  2.2D-02  1.524D-02  7.355D-01
  174  195     0     0  con    1  2.7D-01  7.2D-02  4.442D-02  7.352D-01
  175  196     0     0  con    0  1.0D+00  1.1D-01  7.335D-03  7.348D-01
  176  197     0     0  con    0  1.0D+00  7.0D-02  2.028D-02  7.345D-01
  177  198     0     0  con    0  1.0D+00  9.9D-02  2.788D-02  7.338D-01
  178  199     0     0  con    0  1.0D+00  1.9D-01  1.206D-01  7.333D-01
  179  200     0     0  con    0  1.0D+00  8.4D-02  3.614D-02  7.324D-01
  180  201     0     0  con    0  1.0D+00  5.2D-02  1.307D-02  7.320D-01
  181  202     0     0  con    0  1.0D+00  4.6D-02  2.434D-02  7.317D-01
  182  203     0     0  con    0  1.0D+00  1.0D-01  1.034D-01  7.316D-01
  183  204     0     0  con    0  1.0D+00  6.9D-02  1.975D-02  7.309D-01
  184  205     0     0  con    0  1.0D+00  3.5D-02  3.015D-02  7.306D-01
  185  206     0     0  con    0  1.0D+00  1.2D-01  8.666D-02  7.299D-01
  186  207     0     0  con    0  1.0D+00  1.1D-01  4.470D-02  7.294D-01
  187  208     0     0  con    0  1.0D+00  1.5D-01  7.138D-02  7.291D-01
  188  210     0     0  con    1  3.9D-01  8.7D-02  2.968D-02  7.287D-01
  189  211     0     0  con    0  1.0D+00  3.5D-02  2.816D-02  7.286D-01
  190  213     0     0  con    1  2.0D-01  1.9D-02  2.223D-02  7.284D-01
  191  214     0     0  con    0  1.0D+00  2.6D-02  2.989D-02  7.281D-01
  192  215     0     0  con    0  1.0D+00  7.9D-02  1.654D-02  7.278D-01
  193  216     0     0  con    0  1.0D+00  1.7D-01  1.392D-02  7.275D-01
  194  217     0     0  con    0  1.0D+00  6.7D-02  8.997D-02  7.272D-01
  195  218     0     0  con    0  1.0D+00  1.8D-02  5.953D-02  7.270D-01
  196  219     0     0  con    0  1.0D+00  5.2D-02  1.775D-02  7.264D-01
  197  220     0     0  con    0  1.0D+00  4.8D-02  2.193D-02  7.262D-01
  198  221     0     0  con    0  1.0D+00  2.2D-01  4.339D-02  7.260D-01
  199  223     0     0  con    1  4.3D-01  5.3D-02  4.605D-02  7.258D-01
  200  224     0     0  con    0  1.0D+00  1.2D-01  2.828D-02  7.255D-01
  201  225     0     0  con    0  1.0D+00  3.3D-02  2.288D-02  7.253D-01
  202  226     0     0  con    0  1.0D+00  2.5D-02  1.608D-02  7.252D-01
  203  227     0     0  con    0  1.0D+00  6.9D-02  1.924D-02  7.249D-01
  204  228     0     0  con    0  1.0D+00  6.2D-02  1.818D-02  7.246D-01
  205  229     0     0  con    0  1.0D+00  1.4D-01  6.880D-02  7.243D-01
  206  230     0     0  con    0  1.0D+00  6.9D-02  1.830D-02  7.240D-01
  207  231     0     0  con    0  1.0D+00  1.3D-02  7.761D-03  7.238D-01
  208  232     0     0  con    0  1.0D+00  2.1D-02  9.162D-03  7.237D-01
  209  233     0     0  con    0  1.0D+00  5.3D-02  1.755D-02  7.234D-01
  210  234     0     0  con    0  1.0D+00  6.9D-02  2.800D-02  7.231D-01
  211  235     0     0  con    0  1.0D+00  6.9D-02  1.322D-02  7.228D-01
  212  236     0     0  con    0  1.0D+00  1.3D-01  3.338D-02  7.225D-01
  213  237     0     0  con    0  1.0D+00  8.4D-02  3.070D-02  7.223D-01
  214  238     0     0  con    0  1.0D+00  1.5D-02  2.354D-02  7.221D-01
  215  239     0     0  con    0  1.0D+00  6.6D-02  6.506D-03  7.217D-01
  216  240     0     0  con    0  1.0D+00  4.1D-02  1.692D-02  7.216D-01
  217  242     0     0  con    1  2.4D-01  1.4D-02  2.666D-02  7.215D-01
  218  243     0     0  con    0  1.0D+00  1.1D-02  1.123D-02  7.215D-01
  219  244     0     0  con    0  1.0D+00  2.8D-02  2.170D-02  7.214D-01
  220  245     0     0  con    0  1.0D+00  5.3D-02  3.038D-02  7.212D-01
  221  246     0     0  con    0  1.0D+00  6.3D-02  1.737D-02  7.210D-01
  222  247     0     0  con    0  1.0D+00  9.6D-02  1.133D-02  7.209D-01
